Title,Author,Position,Month,Year
ALERT,by James Patterson and Michael Ledwidge,9,9,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,10,9,2015
FOUR WEEK FIANCÉ,by J.S. Cooper,11,9,2015
WHO DO YOU LOVE,by Jennifer Weiner,12,9,2015
THE NIGHTINGALE,by Kristin Hannah,13,9,2015
LOVE AFTER DARK,by Marie Force,14,9,2015
CIRCLING THE SUN,by Paula McLain,15,9,2015
THE MARTIAN,by Andy Weir,1,10,2015
DEVOTED IN DEATH,by J. D. Robb,2,10,2015
MAKE ME,by Lee Child,3,10,2015
THE GIRL IN THE SPIDER'S WEB,by David Lagercrantz,4,10,2015
THE END GAME,by Catherine Coulter and J. T. Ellison,5,10,2015
HARD LOVE,by Meredith Wild,6,10,2015
THE SCAM,by Janet Evanovich and Lee Goldberg,7,10,2015
THE GIRL ON THE TRAIN,by Paula Hawkins,8,10,2015
FATES AND FURIES,by Lauren Groff,9,10,2015
GRAY MOUNTAIN,by John Grisham,10,10,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,11,10,2015
GO SET A WATCHMAN,by Harper Lee,12,10,2015
X,by Sue Grafton,13,10,2015
FATAL FRENZY,by Marie Force,14,10,2015
HOLLYWOOD DIRT,by Alessandra Torre,15,10,2015
SEE ME,by Nicholas Sparks,1,11,2015
THE MARTIAN,by Andy Weir,2,11,2015
THE SURVIVOR,by Vince Flynn and Kyle Mills,3,11,2015
THE MURDER HOUSE,by James Patterson and David Ellis,4,11,2015
FOREIGN AFFAIRS,by Stuart Woods,5,11,2015
THE GIRL IN THE SPIDER'S WEB,by David Lagercrantz,6,11,2015
MAKE ME,by Lee Child,7,11,2015
PRETTY GIRLS,by Karin Slaughter,8,11,2015
THE GIRL ON THE TRAIN,by Paula Hawkins,9,11,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,10,11,2015
WRONG,by Jana Aston,11,11,2015
CITY ON FIRE,by Garth Risk Hallberg,12,11,2015
AFTER YOU,by Jojo Moyes,13,11,2015
HELL'S FOUNDATIONS QUIVER,by David Weber,14,11,2015
A KNIGHT OF THE SEVEN KINGDOMS,by George R. R. Martin,15,11,2015
TRICKY TWENTY-TWO,by Janet Evanovich,1,12,2015
THE GUILTY,by David Baldacci,2,12,2015
ROGUE LAWYER,by John Grisham,3,12,2015
ALL DRESSED IN WHITE,by Mary Higgins Clark and Alafair Burke,4,12,2015
THE CROSSING,by Michael Connelly,5,12,2015
THE PHARAOH'S SECRET,by Clive Cussler and Graham Brown,6,12,2015
MONSTER ________,by Kendall Ryan,7,12,2015
THE MARTIAN,by Andy Weir,8,12,2015
SEE ME,by Nicholas Sparks,9,12,2015
THE BAZAAR OF BAD DREAMS,by Stephen King,10,12,2015
THE MISTLETOE INN,by Richard Paul Evans,11,12,2015
STARS OF FORTUNE,by Nora Roberts,12,12,2015
ORPHAN #8,by Kim van Alkemade,13,12,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,14,12,2015
CRIMSON SHORE,by Douglas Preston and Lincoln Child,15,12,2015
ROGUE LAWYER,by John Grisham,1,1,2016
THE MARTIAN,by Andy Weir,2,1,2016
CROSS JUSTICE,by James Patterson,3,1,2016
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,4,1,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,5,1,2016
SEE ME,by Nicholas Sparks,6,1,2016
THE GUILTY,by David Baldacci,7,1,2016
THE BAZAAR OF BAD DREAMS,by Stephen King,8,1,2016
THE BONE LABYRINTH,by James Rollins,9,1,2016
THE NIGHTINGALE,by Kristin Hannah,10,1,2016
TOM CLANCY: COMMANDER IN CHIEF,by Mark Greaney,11,1,2016
TRICKY TWENTY-TWO,by Janet Evanovich,12,1,2016
THE MAGIC STRINGS OF FRANKIE PRESTO,by Mitch Albom,13,1,2016
GO SET A WATCHMAN,by Harper Lee,14,1,2016
ASHLEY BELL,by Dean Koontz,15,1,2016
BLUE,by Danielle Steel,1,2,2016
FEVERBORN,by Karen Marie Moning,2,2,2016
THE CHOICE,by Nicholas Sparks,3,2,2016
MY NAME IS LUCY BARTON,by Elizabeth Strout,4,2,2016
THE REVENANT,by Michael Punke,5,2,2016
THE BALLER,by Vi Keeland,6,2,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,7,2,2016
THE NIGHTINGALE,by Kristin Hannah,8,2,2016
THE MARTIAN,by Andy Weir,9,2,2016
THE LAST ANNIVERSARY,by Liane Moriarty,10,2,2016
COLD BETRAYAL,by J. A. Jance,11,2,2016
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,12,2,2016
ROGUE LAWYER,by John Grisham,13,2,2016
JANUARY,by Audrey Carlan,14,2,2016
WARRIORS OF THE STORM,by Bernard Cornwell,15,2,2016
COMETH THE HOUR,by Jeffrey Archer,1,3,2016
ME BEFORE YOU,by Jojo Moyes,2,3,2016
ROOMHATE,by Penelope Ward,3,3,2016
FIND HER,by Lisa Gardner,4,3,2016
THE NIGHTINGALE,by Kristin Hannah,5,3,2016
NYPD RED 4,by James Patterson and Marshall Karp,6,3,2016
BROTHERHOOD IN DEATH,by J. D. Robb,7,3,2016
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,8,3,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,9,3,2016
THE NEXT ALWAYS,by Nora Roberts,10,3,2016
THE LIE,by Karina Halle,11,3,2016
THE WIDOW,by Fiona Barton,12,3,2016
THE MARTIAN,by Andy Weir,13,3,2016
THE CHOICE,by Nicholas Sparks,14,3,2016
11/22/1963,by Stephen King,15,3,2016
PRIVATE PARIS,by James Patterson and Mark Sullivan,1,4,2016
PROPERTY OF A NOBLEWOMAN,by Danielle Steel,2,4,2016
DARK PROMISES,by Christine Feehan,3,4,2016
ME BEFORE YOU,by Jojo Moyes,4,4,2016
THE NIGHTINGALE,by Kristin Hannah,5,4,2016
PLAYING THE ODDS,by Nora Roberts,6,4,2016
THE WEDDING DRESS,by Rachel Hauck,7,4,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,8,4,2016
OFF THE GRID,by C. J. Box,9,4,2016
HAWKE,by Sawyer Bennett,10,4,2016
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,11,4,2016
THE LIAR,by Nora Roberts,12,4,2016
DEEP BLUE,by Randy Wayne White,13,4,2016
THE GANGSTER,by Clive Cussler and Justin Scott,14,4,2016
THE STEEL KISS,by Jeffery Deaver,15,4,2016
THE OBSESSION,by Nora Roberts,1,5,2016
ONE WITH YOU,by Sylvia Day,2,5,2016
STUCK-UP SUIT,by Vi Keeland and Penelope Ward,3,5,2016
FOOL ME ONCE,by Harlan Coben,4,5,2016
ME BEFORE YOU,by Jojo Moyes,5,5,2016
THE NEST,by Cynthia D'Aprix Sweeney,6,5,2016
MOST WANTED,by Lisa Scottoline,7,5,2016
NOW THAT I'VE FOUND YOU,by Bella Andre,8,5,2016
AS TIME GOES BY,by Mary Higgins Clark,9,5,2016
THE NIGHTINGALE,by Kristin Hannah,10,5,2016
MAKE ME,by Lee Child,11,5,2016
THE MURDER HOUSE,by James Patterson and David Ellis,12,5,2016
THE PLAYER,by Kresley Cole,13,5,2016
THE 14TH COLONY,by Steve Berry,14,5,2016
LISTEN TO ME,by Kristen Proby,15,5,2016
ME BEFORE YOU,by Jojo Moyes,1,6,2016
15TH AFFAIR,by James Patterson and Maxine Paetro,2,6,2016
THE WEEKENDERS,by Mary Kay Andrews,3,6,2016
THE LAST MILE,by David Baldacci,4,6,2016
THE FIREMAN,by Joe Hill,5,6,2016
BEYOND THE ICE LIMIT,by Douglas Preston and Lincoln Child,6,6,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,7,6,2016
EXTREME PREY,by John Sandford,8,6,2016
THIRTY-SIX AND A HALF MOTIVES,by Denise Grover Swank,9,6,2016
THE BEACH HOUSE,by Jane Green,10,6,2016
THE HIGHWAYMAN,by Craig Johnson,11,6,2016
THE NEST,by Cynthia D'Aprix Sweeney,12,6,2016
AFTER YOU,by Jojo Moyes,13,6,2016
THE NIGHTINGALE,by Kristin Hannah,14,6,2016
THE APARTMENT,by Danielle Steel,15,6,2016
BAY OF SIGHS,by Nora Roberts,1,7,2016
ME BEFORE YOU,by Jojo Moyes,2,7,2016
FOREIGN AGENT,by Brad Thor,3,7,2016
END OF WATCH,by Stephen King,4,7,2016
THE NIGHTINGALE,by Kristin Hannah,5,7,2016
HERE'S TO US,by Elin Hilderbrand,6,7,2016
TOM CLANCY: DUTY AND HONOR,by Grant Blackwood,7,7,2016
THE GIRLS,by Emma Cline,8,7,2016
CROSS KILL,by James Patterson,9,7,2016
AFTER YOU,by Jojo Moyes,10,7,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,11,7,2016
BEFORE THE FALL,by Noah Hawley,12,7,2016
THE LAST MILE,by David Baldacci,13,7,2016
A MAN CALLED OVE,by Fredrik Backman,14,7,2016
ZOO 2,by James Patterson with Max DiLallo,15,7,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,1,8,2016
THE BLACK WIDOW,by Daniel Silva,2,8,2016
AFTER YOU,by Jojo Moyes,3,8,2016
BOSSMAN,by Vi Keeland,4,8,2016
ME BEFORE YOU,by Jojo Moyes,5,8,2016
NIGHT AND DAY,by Iris Johansen,6,8,2016
A MAN CALLED OVE,by Fredrik Backman,7,8,2016
OBSESSION,by Helen Hardt,8,8,2016
DIE AGAIN,by Tess Gerritsen,9,8,2016
FIRST COMES LOVE,by Emily Giffin,10,8,2016
THE WOMAN IN CABIN 10,by Ruth Ware,11,8,2016
THE GIRLS,by Emma Cline,12,8,2016
THE NIGHTINGALE,by Kristin Hannah,13,8,2016
THE GAMES,by James Patterson and Mark Sullivan,14,8,2016
MAGIC,by Danielle Steel,15,8,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,1,9,2016
STING,by Sandra Brown,2,9,2016
CURIOUS MINDS,by Janet Evanovich and Phoef Sutton,3,9,2016
THE UNDERGROUND RAILROAD,by Colson Whitehead,4,9,2016
TRULY MADLY GUILTY,by Liane Moriarty,5,9,2016
DAMAGED,by Lisa Scottoline,6,9,2016
BULLSEYE,by James Patterson and Michael Ledwidge,7,9,2016
A MAN CALLED OVE,by Fredrik Backman,8,9,2016
A BEAUTIFUL FUNERAL,by Jamie McGuire,9,9,2016
ROGUE LAWYER,by John Grisham,10,9,2016
THE WOMAN IN CABIN 10,by Ruth Ware,11,9,2016
SHADOW BORN,by Jasmine Walt and Rebecca Hamilton,12,9,2016
INSIDIOUS,by Catherine Coulter,13,9,2016
NEIGHBOR DEAREST,by Penelope Ward,14,9,2016
AFTER YOU,by Jojo Moyes,15,9,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,1,10,2016
COMMONWEALTH,by Ann Patchett,2,10,2016
PIRATE,by Clive Cussler and Robin Burcell,3,10,2016
THE LIGHT BETWEEN OCEANS,by M. L. Stedman,4,10,2016
AN OBVIOUS FACT,by Craig Johnson,5,10,2016
APPRENTICE IN DEATH,by J. D. Robb,6,10,2016
A MAN CALLED OVE,by Fredrik Backman,7,10,2016
WELL HUNG,by Lauren Blakely,8,10,2016
RAZOR GIRL,by Carl Hiaasen,9,10,2016
THE UNDERGROUND RAILROAD,by Colson Whitehead,10,10,2016
THE WOMAN IN CABIN 10,by Ruth Ware,11,10,2016
ROBERT B. PARKER'S DEBT TO PAY,by Reed Farrel Coleman,12,10,2016
NUTSHELL,by Ian McEwan,13,10,2016
THE LAST MILE,by David Baldacci,14,10,2016
A GREAT RECKONING,by Louise Penny,15,10,2016
ESCAPE CLAUSE,by John Sandford,1,11,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,2,11,2016
THE OBSIDIAN CHAMBER,by Douglas Preston and Lincoln Child,3,11,2016
TWO BY TWO,by Nicholas Sparks,4,11,2016
SMALL GREAT THINGS,by Jodi Picoult,5,11,2016
VINCE FLYNN: ORDER TO KILL,by Kyle Mills,6,11,2016
A MAN CALLED OVE,by Fredrik Backman,7,11,2016
INFERNO,by Dan Brown,8,11,2016
THE SEXY ONE,by Lauren Blakely,9,11,2016
HOME,by Harlan Coben,10,11,2016
COMMONWEALTH,by Ann Patchett,11,11,2016
MISSING,by James Patterson and Kathryn Fox,12,11,2016
THE WOMAN IN CABIN 10,by Ruth Ware,13,11,2016
THE TRESPASSER,by Tana French,14,11,2016
ROYALLY SCREWED,by Emma Chase,15,11,2016
TURBO TWENTY-THREE,by Janet Evanovich,1,12,2016
NO MAN'S LAND,by David Baldacci,2,12,2016
THE WHISTLER,by John Grisham,3,12,2016
NIGHT SCHOOL,by Lee Child,4,12,2016
CHAOS,by Patricia Cornwell,5,12,2016
ODESSA SEA,by Clive Cussler and Dirk Cussler,6,12,2016
THE GIRL ON THE TRAIN,by Paula Hawkins,7,12,2016
THE SLEEPING BEAUTY KILLER,by Mary Higgins Clark and Alafair Burke,8,12,2016
THE WRONG SIDE OF GOODBYE,by Michael Connelly,9,12,2016
A MAN CALLED OVE,by Fredrik Backman,10,12,2016
SMALL GREAT THINGS,by Jodi Picoult,11,12,2016
TWO BY TWO,by Nicholas Sparks,12,12,2016
CATALYST,by James Luceno,13,12,2016
THE MISTLETOE SECRET,by Richard Paul Evans,14,12,2016
THE CHEMIST,by Stephenie Meyer,15,12,2016
THE WHISTLER,by John Grisham,1,1,2017
CROSS THE LINE,by James Patterson,2,1,2017
A MAN CALLED OVE,by Fredrik Backman,3,1,2017
A DOG'S PURPOSE,by W. Bruce Cameron,4,1,2017
THE SEVENTH PLAGUE,by James Rollins,5,1,2017
TOM CLANCY TRUE FAITH AND ALLEGIANCE,by Mark Greaney,6,1,2017
THE GIRL ON THE TRAIN,by Paula Hawkins,7,1,2017
THE UNDERGROUND RAILROAD,by Colson Whitehead,8,1,2017
TWO BY TWO,by Nicholas Sparks,9,1,2017
NO MAN'S LAND,by David Baldacci,10,1,2017
ISLAND OF GLASS,by Nora Roberts,11,1,2017
NIGHT SCHOOL,by Lee Child,12,1,2017
SMALL GREAT THINGS,by Jodi Picoult,13,1,2017
MILK AND HONEY,by Rupi Kaur,14,1,2017
TURBO TWENTY-THREE,by Janet Evanovich,15,1,2017
NEVER NEVER,by James Patterson and Candice Fox,1,2,2017
A DOG'S PURPOSE,by W. Bruce Cameron,2,2,2017
A MAN CALLED OVE,by Fredrik Backman,3,2,2017
FEVERSONG,by Karen Marie Moning,4,2,2017
EGOMANIAC,by Vi Keeland,5,2,2017
THE GIRL ON THE TRAIN,by Paula Hawkins,6,2,2017
THE WHISTLER,by John Grisham,7,2,2017
MILK AND HONEY,by Rupi Kaur,8,2,2017
THE MISTRESS,by Danielle Steel,9,2,2017
THE UNDERGROUND RAILROAD,by Colson Whitehead,10,2,2017
SMALL GREAT THINGS,by Jodi Picoult,11,2,2017
FIDELITY,by Aleatha Romig,12,2,2017
MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,by Fredrik Backman,13,2,2017
TWO BY TWO,by Nicholas Sparks,14,2,2017
CROSS THE LINE,by James Patterson,15,2,2017
HEARTBREAK HOTEL,by Jonathan Kellerman,1,3,2017
LINCOLN IN THE BARDO,by George Saunders,2,3,2017
BURN,by Helen Hardt,3,3,2017
THE SHACK,by William P. Young,4,3,2017
A DOG'S PURPOSE,by W. Bruce Cameron,5,3,2017
A MAN CALLED OVE,by Fredrik Backman,6,3,2017
ECHOES IN DEATH,by J. D. Robb,7,3,2017
BIG LITTLE LIES,by Liane Moriarty,8,3,2017
NORSE MYTHOLOGY,by Neil Gaiman,9,3,2017
GUNMETAL GRAY,by Mark Greaney,10,3,2017
FIFTY SHADES DARKER,by E. L. James,11,3,2017
RIGHT BEHIND YOU,by Lisa Gardner,12,3,2017
THE HANDMAID'S TALE,by Margaret Atwood,13,3,2017
MILK AND HONEY,by Rupi Kaur,14,3,2017
NEVER NEVER,by James Patterson and Candice Fox,15,3,2017
THE SHACK,by William P. Young,1,4,2017
THE DEVIL'S TRIANGLE,by Catherine Coulter and J. T. Ellison,2,4,2017
THE CUTTHROAT,by Clive Cussler and Justin Scott,3,4,2017
BIG LITTLE LIES,by Liane Moriarty,4,4,2017
THE OBSESSION,by Nora Roberts,5,4,2017
A MAN CALLED OVE,by Fredrik Backman,6,4,2017
IN THIS GRAVE HOUR,by Jacqueline Winspear,7,4,2017
DANGEROUS GAMES,by Danielle Steel,8,4,2017
A DOG'S PURPOSE,by W. Bruce Cameron,9,4,2017
WITHOUT WARNING,by Joel C. Rosenberg,10,4,2017
MILK AND HONEY,by Rupi Kaur,11,4,2017
EXPECTING TO DIE,by Lisa Jackson,12,4,2017
NORSE MYTHOLOGY,by Neil Gaiman,13,4,2017
THE LAST MILE,by David Baldacci,14,4,2017
LILAC GIRLS,by Martha Hall Kelly,15,4,2017
THE FIX,by David Baldacci,1,5,2017
FAST AND LOOSE,by Stuart Woods,2,5,2017
THE BLACK BOOK,by James Patterson and David Ellis,3,5,2017
BIG LITTLE LIES,by Liane Moriarty,4,5,2017
A MAN CALLED OVE,by Fredrik Backman,5,5,2017
THE WOMAN IN CABIN 10,by Ruth Ware,6,5,2017
ANY DAY NOW,by Robyn Carr,7,5,2017
THE HANDMAID'S TALE,by Margaret Atwood,8,5,2017
MILK AND HONEY,by Rupi Kaur,9,5,2017
LILAC GIRLS,by Martha Hall Kelly,10,5,2017
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,11,5,2017
THE SHACK,by William P. Young,12,5,2017
THE STARS ARE FIRE,by Anita Shreve,13,5,2017
ONE PERFECT LIE,by Lisa Scottoline,14,5,2017
"ALL BY MYSELF, ALONE",by Mary Higgins Clark,15,5,2017
INTO THE WATER,by Paula Hawkins,1,6,2017
SURRENDER,by Helen Hardt,2,6,2017
NO MIDDLE NAME,by Lee Child,3,6,2017
GWENDY'S BUTTON BOX,by Stephen King and Richard Chizmar,4,6,2017
16TH SEDUCTION,by James Patterson and Maxine Paetro,5,6,2017
THE HANDMAID'S TALE,by Margaret Atwood,6,6,2017
"SAME BEACH, NEXT YEAR",by Dorothea Benton Frank,7,6,2017
THE FIX,by David Baldacci,8,6,2017
NIGHT SCHOOL,by Lee Child,9,6,2017
TESTIMONY,by Scott Turow,10,6,2017
FULL WOLF MOON,by Lincoln Child,11,6,2017
BUTTONS AND PAIN,by Penelope Sky,12,6,2017
GOLDEN PREY,by John Sandford,13,6,2017
THE WOMAN IN CABIN 10,by Ruth Ware,14,6,2017
LILAC GIRLS,by Martha Hall Kelly,15,6,2017
CAMINO ISLAND,by John Grisham,1,7,2017
THE IDENTICALS,by Elin Hilderbrand,2,7,2017
TOM CLANCY: POINT OF CONTACT,by Mike Maden,3,7,2017
COME SUNDOWN,by Nora Roberts,4,7,2017
THE HANDMAID'S TALE,by Margaret Atwood,5,7,2017
THE FIX,by David Baldacci,6,7,2017
INTO THE WATER,by Paula Hawkins,7,7,2017
THE WOMAN IN CABIN 10,by Ruth Ware,8,7,2017
MILK AND HONEY,by Rupi Kaur,9,7,2017
DRAGON TEETH,by Michael Crichton,10,7,2017
LILAC GIRLS,by Martha Hall Kelly,11,7,2017
SEE ME,by Nicholas Sparks,12,7,2017
A MAN CALLED OVE,by Fredrik Backman,13,7,2017
NIGHTHAWK,by Clive Cussler and Graham Brown,14,7,2017
SILVER SILENCE,by Nalini Singh,15,7,2017
THE LATE SHOW,by Michael Connelly,1,8,2017
THE WHISTLER,by John Grisham,2,8,2017
CAMINO ISLAND,by John Grisham,3,8,2017
HOUSE OF SPIES,by Daniel Silva,4,8,2017
BEAUTIFUL MISTAKE,by Vi Keeland,5,8,2017
THE WOMAN IN CABIN 10,by Ruth Ware,6,8,2017
A GAME OF THRONES,by George R.R. Martin,7,8,2017
THE HANDMAID'S TALE,by Margaret Atwood,8,8,2017
THE GUNSLINGER,by Stephen King,9,8,2017
MILK AND HONEY,by Rupi Kaur,10,8,2017
LILAC GIRLS,by Martha Hall Kelly,11,8,2017
THE IDENTICALS,by Elin Hilderbrand,12,8,2017
LOOK BEHIND YOU,by Iris Johansen and Roy Johansen,13,8,2017
USE OF FORCE,by Brad Thor,14,8,2017
MURDER GAMES,by James Patterson and Howard Roughan,15,8,2017
SEEING RED,by Sandra Brown,1,9,2017
THE STORE,by James Patterson and Richard DiLallo,2,9,2017
I KNOW A SECRET,by Tess Gerritsen,3,9,2017
THE LATE SHOW,by Michael Connelly,4,9,2017
THE WHISTLER,by John Grisham,5,9,2017
CAMINO ISLAND,by John Grisham,6,9,2017
THE WOMAN IN CABIN 10,by Ruth Ware,7,9,2017
EXPOSED,by Lisa Scottoline,8,9,2017
BEFORE WE WERE YOURS,by Lisa Wingate,9,9,2017
MILK AND HONEY,by Rupi Kaur,10,9,2017
THE STONE SKY,by N. K. Jemisin,11,9,2017
THE STORIED LIFE OF A. J. FIKRY,by Gabrielle Zevin,12,9,2017
READY PLAYER ONE,by Ernest Cline,13,9,2017
A GAME OF THRONES,by George R.R. Martin,14,9,2017
THE HANDMAID'S TALE,by Margaret Atwood,15,9,2017
A COLUMN OF FIRE,by Ken Follett,1,10,2017
IT,by Stephen King,2,10,2017
THE GIRL WHO TAKES AN EYE FOR AN EYE,by David Lagercrantz,3,10,2017
ENIGMA,by Catherine Coulter,4,10,2017
THE ROMANOV RANSOM,by Clive Cussler and Robin Burcell,5,10,2017
ENEMY OF THE STATE,by Kyle Mills,6,10,2017
SECRETS IN DEATH,by J.D. Robb,7,10,2017
LITTLE FIRES EVERYWHERE,by Celeste Ng,8,10,2017
BEFORE WE WERE YOURS,by Lisa Wingate,9,10,2017
A LEGACY OF SPIES,by John le Carré,10,10,2017
Y IS FOR YESTERDAY,by Sue Grafton,11,10,2017
TURBO TWENTY-THREE,by Janet Evanovich,12,10,2017
THE WOMAN IN CABIN 10,by Ruth Ware,13,10,2017
THE HANGMAN'S SONNET,by Reed Farrel Coleman,14,10,2017
AMERICAN ASSASSIN,by Vince Flynn,15,10,2017
ORIGIN,by Dan Brown,1,11,2017
DEEP FREEZE,by John Sandford,2,11,2017
THE SUN AND HER FLOWERS,by Rupi Kaur,3,11,2017
IT,by Stephen King,4,11,2017
THE SNOWMAN,by Jo Nesbo,5,11,2017
FAIRYTALE,by Danielle Steel,6,11,2017
THE CUBAN AFFAIR,by Nelson DeMille,7,11,2017
DON'T LET GO,by Harlan Coben,8,11,2017
UNCOMMON TYPE,by Tom Hanks,9,11,2017
A COLUMN OF FIRE,by Ken Follett,10,11,2017
SLEEPING BEAUTIES,by Stephen King and Owen King,11,11,2017
BEFORE WE WERE YOURS,by Lisa Wingate,12,11,2017
MILK AND HONEY,by Rupi Kaur,13,11,2017
MANHATTAN BEACH,by Jennifer Egan,14,11,2017
THE GIRL WHO TAKES AN EYE FOR AN EYE,by David Lagercrantz,15,11,2017
HARDCORE TWENTY-FOUR,by Janet Evanovich,1,12,2017
OATHBRINGER,by Brandon Sanderson,2,12,2017
END GAME,by David Baldacci,3,12,2017
THE MIDNIGHT LINE,by Lee Child,4,12,2017
THE ROOSTER BAR,by John Grisham,5,12,2017
ARTEMIS,by Andy Weir,6,12,2017
ORIGIN,by Dan Brown,7,12,2017
TWO KINDS OF TRUTH,by Michael Connelly,8,12,2017
COUNT TO TEN,by James Patterson and Ashwin Sanghi,9,12,2017
THE SUN AND HER FLOWERS,by Rupi Kaur,10,12,2017
MILK AND HONEY,by Rupi Kaur,11,12,2017
THE SILENT CORNER,by Dean Koontz,12,12,2017
TYPHOON FURY,by Clive Cussler and Boyd Morrison,13,12,2017
DEFIANT QUEEN,by Meghan March,14,12,2017
EVERY BREATH YOU TAKE,by Mary Higgins Clark and Alafair Burke,15,12,2017
ORIGIN,by Dan Brown,1,1,2018
THE ROOSTER BAR,by John Grisham,2,1,2018
THE SUN AND HER FLOWERS,by Rupi Kaur,3,1,2018
THE PEOPLE VS. ALEX CROSS,by James Patterson,4,1,2018
MILK AND HONEY,by Rupi Kaur,5,1,2018
DARKER,by E.L. James,6,1,2018
THE MIDNIGHT LINE,by Lee Child,7,1,2018
ARTEMIS,by Andy Weir,8,1,2018
YEAR ONE,by Nora Roberts,9,1,2018
READY PLAYER ONE,by Ernest Cline,10,1,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,11,1,2018
END GAME,by David Baldacci,12,1,2018
TOM CLANCY POWER AND EMPIRE,by Marc Cameron,13,1,2018
SLEEPING BEAUTIES,by Stephen King and Owen King,14,1,2018
HARDCORE TWENTY-FOUR,by Janet Evanovich,15,1,2018
CITY OF ENDLESS NIGHT,by Douglas Preston and Lincoln Child,1,2,2018
THE WOMAN IN THE WINDOW,by A.J. Finn,2,2,2018
IRON GOLD,by Pierce Brown,3,2,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,4,2,2018
ORIGIN,by Dan Brown,5,2,2018
THE WIFE BETWEEN US,by Greer Hendricks and Sarah Pekkanen,6,2,2018
BEFORE WE WERE YOURS,by Lisa Wingate,7,2,2018
"SEX, NOT LOVE",by Vi Keeland,8,2,2018
THE ROOSTER BAR,by John Grisham,9,2,2018
THE SUN AND HER FLOWERS,by Rupi Kaur,10,2,2018
MILK AND HONEY,by Rupi Kaur,11,2,2018
FOREVER MY GIRL,by Heidi McLaughlin,12,2,2018
NO MIDDLE NAME,by Lee Child,13,2,2018
READY PLAYER ONE,by Ernest Cline,14,2,2018
DARKER,by E.L. James,15,2,2018
THE GREAT ALONE,by Kristin Hannah,1,3,2018
UNRAVELED,by Helen Hardt,2,3,2018
NIGHT MOVES,by Jonathan Kellerman,3,3,2018
AN AMERICAN MARRIAGE,by Tayari Jones,4,3,2018
THE WOMAN IN THE WINDOW,by A.J. Finn,5,3,2018
STILL ME,by Jojo Moyes,6,3,2018
READY PLAYER ONE,by Ernest Cline,7,3,2018
THE KREMLIN'S CANDIDATE,by Jason Matthews,8,3,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,9,3,2018
LOOK FOR ME,by Lisa Gardner,10,3,2018
DARK IN DEATH,by J.D. Robb,11,3,2018
BEFORE WE WERE YOURS,by Lisa Wingate,12,3,2018
THE WIFE BETWEEN US,by Greer Hendricks and Sarah Pekkanen,13,3,2018
ORIGIN,by Dan Brown,14,3,2018
SURPRISE ME,by Sophie Kinsella,15,3,2018
THE RISING SEA,by Clive Cussler and Graham Brown,1,4,2018
CAMINO ISLAND,by John Grisham,2,4,2018
READY PLAYER ONE,by Ernest Cline,3,4,2018
THE GREAT ALONE,by Kristin Hannah,4,4,2018
DEAREST IVIE,by J.R. Ward,5,4,2018
THE ESCAPE ARTIST,by Brad Meltzer,6,4,2018
THE WOMAN IN THE WINDOW,by A.J. Finn,7,4,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,8,4,2018
RED SPARROW,by Jason Matthews,9,4,2018
THE FLIGHT ATTENDANT,by Chris Bohjalian,10,4,2018
AN AMERICAN MARRIAGE,by Tayari Jones,11,4,2018
BEFORE WE WERE YOURS,by Lisa Wingate,12,4,2018
THE FIX,by David Baldacci,13,4,2018
CARIBBEAN RIM,by Randy Wayne White,14,4,2018
THE SUN AND HER FLOWERS,by Rupi Kaur,15,4,2018
THE FALLEN,by David Baldacci,1,5,2018
READY PLAYER ONE,by Ernest Cline,2,5,2018
AFTER ANNA,by Lisa Scottoline,3,5,2018
CAMINO ISLAND,by John Grisham,4,5,2018
THE GREAT ALONE,by Kristin Hannah,5,5,2018
THE FAMILY GATHERING,by Robyn Carr,6,5,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,7,5,2018
BEFORE WE WERE YOURS,by Lisa Wingate,8,5,2018
I'VE GOT MY EYES ON YOU,by Mary Higgins Clark,9,5,2018
NOIR,by Christopher Moore,10,5,2018
THEN SHE WAS GONE,by Lisa Jewell,11,5,2018
